Категорія,Кількість,Середня ціна,Мінімальна ціна,Максимальна ціна
3-кімнатні квартири,52,29512.19,1400,189723
Будинки,98,3103193.01,1928,32536411
Дуплекси - первинний ринок,110,4816300.97,1404,36874599
